,name,importance
0,6,0.0
1,7,0.0029485424569320935
2,8,0.0013441375830181466
3,10,3.500626166691471e-06
4,12,4.16037755340281e-06
5,14,0.0
6,16,0.03975109304801469
7,18,0.00017438324030681827
8,20,0.004239943910635979
9,22,0.0032537645540320374
10,24,0.0008692407264573813
11,26,0.041448012645952215
12,28,0.03319435480399234
13,30,0.00852979435965667
14,32,0.035431149912763034
15,34,0.006498745610414152
16,36,0.04702535115254016
17,38,0.00917028518841968
18,40,0.037122679212148735
19,42,0.033435226309431486
20,44,0.013493224988365379
21,46,9.333603348270621e-07
22,48,4.305349639685574e-05
23,50,0.0005926680894725829
24,52,0.0028228034587703876
25,54,0.024768325883128012
26,56,0.04849700267708067
27,58,0.013173998086525501
28,60,0.0017074804875352667
29,62,0.0
30,64,0.0013778013290067655
31,66,0.01831567932553484
32,68,0.03223965071301317
33,70,0.03902180460313477
34,72,0.0009639565053059519
35,74,0.00036512881262296327
36,76,0.0036030571362448156
37,78,0.03918570027477329
38,80,0.03406676098040857
39,82,0.048401732786214215
40,84,0.04763306837299124
41,86,0.02988394620075544
42,88,0.013086730627003672
43,90,0.0072279058208718
44,92,0.032110303796614614
45,94,6.949708598620454e-05
46,96,0.003182107282164831
47,98,0.00682720352325177
48,100,0.016716969501091267
49,102,0.03606527480080387
50,104,0.03236992176104007
51,106,0.022710443942810042
52,108,0.0026919360921982705
53,110,0.0008538102933618813
54,112,0.0015978640145411936
55,114,0.006040148177749937
56,116,0.03114733979225057
57,118,0.0
58,120,2.657606218141461e-06
59,122,0.017004596990898384
60,130,0.00019390648704411634
61,131,0.0
62,132,5.176055839534023e-06
63,133,0.0
64,134,0.002024664007725809
65,135,0.002199938497169012
66,136,0.0022120926152693738
67,137,0.0020591365709782304
68,138,0.0
69,139,0.0
70,140,0.0
71,141,0.0
72,142,6.692919315356864e-06
73,143,1.161540208122276e-06
74,144,2.3883283091921302e-05
75,145,0.0
76,146,0.0
77,147,2.9373197978394405e-05
78,148,0.0
79,149,0.0
80,150,0.0
81,151,0.0
82,152,2.596765995667089e-05
83,153,0.0
84,154,0.0
85,155,0.0
86,156,1.1477073301375655e-06
87,157,4.272769353820839e-05
88,158,0.0
89,159,0.0
90,160,6.249146170046757e-07
91,161,0.0
92,162,0.0010452782884591556
93,163,0.0010354333633439097
94,164,0.0007140243141098325
95,165,0.0007829510888575624
96,166,0.0
97,167,0.0
98,168,0.0
99,169,0.0
100,170,1.2967209913631919e-05
101,171,1.3432148727256325e-05
102,172,0.0
103,173,0.0
104,174,0.0
105,175,0.0
106,176,0.0
107,177,0.0
108,178,0.0
109,179,0.0
110,180,0.0
111,181,0.0
112,182,0.0
113,183,0.0
114,184,0.0
115,185,0.0
116,186,5.555510269046302e-06
117,187,7.519214284375131e-06
118,188,0.00020483616386152064
119,189,0.00020002744543261164
120,190,4.813088186170529e-07
121,191,0.0
122,192,3.030371032196189e-06
123,193,1.924328182529874e-06
124,194,2.3675649168395047e-06
125,195,0.002707649134826904
126,196,0.0
127,197,0.00018021699148548803
128,198,0.00019447782076190568
129,199,0.00385003004946849
130,200,0.004187924798526708
131,201,0.005463334621549874
132,203,0.0027169467319832427
133,204,0.002596645326377627
134,205,0.0002381135024509483
135,206,0.0
136,207,0.002087982195558312
137,208,0.0028781666687767993
138,209,0.0027932809854408153
139,210,0.0037027206842249554
140,211,0.0004892494652145768
141,212,0.001560132613764626
142,213,0.002773791688127237
143,214,0.0024062233301435612
144,215,0.00042034984386669477
145,216,0.00017295902526481927
146,217,1.622287227911098e-05
147,218,0.00026106905062227986
148,219,0.00012480514147197958
149,220,0.00013972365975572362
150,221,0.00042320075292232826
151,222,0.0002945075074368179
152,223,2.8001840711695554e-05
153,224,0.00029812790448703163
154,225,0.0
155,226,7.524669928966601e-05
156,227,0.0006285707872193856
157,228,0.0014071759532500094
158,229,0.0010809363240891104
159,230,0.0002962513606692412
160,231,0.0
161,232,3.0825874605726e-07
162,233,0.0003604495343540053
163,234,0.0009195948084577228
164,235,0.0
165,236,0.00014372994653137576
166,237,0.0006487973354481479
167,238,0.00039178098624658927
168,239,0.0014664803911063578
169,240,0.0022936893787080304
170,241,0.00011795816320516432
171,242,0.0
172,243,0.0
173,244,0.0
174,245,0.0
175,246,0.0
176,247,0.0
177,248,0.0
178,249,0.0
179,250,0.0
180,251,0.0
181,252,0.0
182,253,0.0
183,254,0.0
184,255,0.0
185,256,0.0
186,257,0.0
187,258,0.0
188,259,0.0
189,260,0.0
190,261,0.0
191,262,0.0
192,263,0.0
193,264,0.0
